PhraseID,current_phrase,current_audio_key,matched_audio_file,match_type
240,"Tio estis la plej malgranda afero, kiun mi povis fari",0085_tio_estis_la_plej_malgranda_afero_kiun_mi_povis_fari,0085_tio_estis_la_plej_malmulto_kion_mi_povis_fari.wav,prefix
286,"Mi timas, ke mi ne povas resti pli longe",0131_mi_timas_ke_mi_ne_povas_resti_pli_longe,0131_mi_timas_ke_mi_ne_povas_resti_plu_longe.wav,prefix
922,Li loĝas en la Unuiĝintaj Arabaj Emirlandoj,0767_li_logxas_en_la_unuigxintaj_arabaj_emirlandoj,0767_li_logxas_en_unuigxintaj_arabaj_emirlandoj.wav,prefix
936,Kio estas via nacieco?,0781_kio_estas_via_nacieco,0781_kia_estas_via_nacieco.wav,prefix
990,Ĉu vi estas edziniĝinta?,0835_cxu_vi_estas_edzinigxinta,0835_cxu_vi_edzinigxis.wav,prefix
992,Li estas eksedziĝinta,0837_li_estas_eksedzigxinta,0837_li_estas_divorcigxinta.wav,prefix
1479,Kvaroble tri estas dek du,1324_kvaroble_tri_estas_dek_du,1324_kvarfoje_tri_estas_dek_du.wav,prefix
1528,Dumiloble kvin estas dek mil,1373_dumiloble_kvin_estas_dek_mil,1373_du_mil_foje_kvin_estas_dek_mil.wav,prefix
1718,Ĉu mi devos labori laŭ deĵoroj?,1563_cxu_mi_devos_labori_laux_dejxoroj,1563_cxu_mi_devos_labori_lauxvice.wav,prefix
1726,Ĉu mi povus ricevi kandidatiĝan formularon?,1571_cxu_mi_povus_ricevi_kandidatigxan_formularon,1571_cxu_mi_povus_ricevi_aligxilon.wav,prefix
1809,Kiom da tempo necesas por alveni tien?,1654_kiom_da_tempo_necesas_por_alveni_tien,1654_kiom_da_tempo_necesas_por_atingi_tien.wav,prefix
2000,Kie mi suriru la aviadilon?,1845_kie_mi_suriru_la_aviadilon,1845_kie_mi_suriru.wav,prefix
2073,"La sekva, mi petas!",1918_la_sekva_mi_petas,1918_la_sekva_bonvolu.wav,prefix
2106,"Vian doganan deklaracion, mi petas",1951_vian_doganan_deklaracion_mi_petas,1951_vian_doganan_deklaracion_bonvolu.wav,prefix
2242,Turniĝu dekstren,2087_turnigxu_dekstren,2087_turnu_dekstren.wav,prefix
