PhraseID,current_phrase,current_audio_key,matched_audio_file,match_type
998,Li havas amrilaton,0843_li_havas_amrilaton,0843_li_estas_en_rilato.wav,prefix
1921,Mi ŝatus grandigi ĉi tiujn fotojn,1766_mi_sxatus_grandigi_cxi_tiujn_fotojn,1766_mi_sxatus_grandigi_cxi_tiujn_fotografiojn.wav,prefix
2271,Kie mi pagu por parkumado?,2116_kie_mi_pagu_por_parkumado,2116_kie_estas_la_parkometro.wav,prefix
2290,Vi preterpasos superbazaron maldekstre,2135_vi_preterpasos_superbazaron_maldekstre,2135_vi_pasos_superbazaron_maldekstre.wav,prefix
2464,Mi ŝatus aldoni 10 pundojn al ĝi,2309_mi_sxatus_aldoni_10_pundojn_al_gxi,2309_mi_sxatus_aldoni_10_funtojn_al_gxi.wav,prefix
2870,Mi bezonas deterganton,2715_mi_bezonas_deterganton,2715_mi_bezonas_detergenton.wav,prefix
2885,Mi bezonas rulon da adhera plastfolio,2730_mi_bezonas_rulon_da_adhera_plastfolio,2730_mi_bezonas_rulon_da_adherema_filmo.wav,prefix
3192,La sekvajn trinkaĵojn mi pagas,3037_la_sekvajn_trinkajxojn_mi_pagas,3037_la_sekvan_rondon_mi_pagas.wav,prefix
3226,Ĉu vi ŝatas fumaĵitan viandon?,3071_cxu_vi_sxatas_fumajxitan_viandon,3071_cxu_vi_sxatas_fumitan_viandon.wav,prefix
3229,Mi prenos la fumaĵitan truton,3074_mi_prenos_la_fumajxitan_truton,3074_mi_prenos_la_fumitan_truton.wav,prefix
3330,Li ŝatas kaporojn,3175_li_sxatas_kaporojn,3175_li_sxatas_kaperojn.wav,prefix
3347,Mi ŝatas cerealaĵojn,3192_mi_sxatas_cerealajxojn,3192_mi_sxatas_cerealojn.wav,prefix
3999,Kiom kostas lui plonĝkostumon por unu tago?,3844_kiom_kostas_lui_plongxkostumon_por_unu_tago,3844_kiom_kostas_lui_malsekkostumon_por_unu_tago.wav,prefix
4014,La rezulto estis egala,3859_la_rezulto_estis_egala,3859_estis_remiso.wav,prefix
4385,Mi ŝatus tinkturigi miajn harojn,4230_mi_sxatus_tinkturigi_miajn_harojn,4230_mi_sxatus_ilin_farbigi.wav,prefix
4387,Bonvolu tinkturi miajn harojn blonde,4232_bonvolu_tinkturi_miajn_harojn_blonde,4232_bonvolu_farbi_miajn_harojn_blonde.wav,prefix
4403,"Malantaŭe laŭgrade mallongigite, mi petas",4248_malantauxe_lauxgrade_mallongigite_mi_petas,4248_malantauxe_kojne_mi_petas.wav,prefix
4941,Bonvolu pesi ĉi tiun pakaĵon,4786_bonvolu_pesi_cxi_tiun_pakajxon,4786_bonvolu_pezi_cxi_tiun_pakajxon.wav,prefix
