Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
-a,{Ｂ}［形容詞語尾］,[词尾]形容词词尾，表示“……的”“第……”的意思,<문법> 형용사 어미.,A,1.0,1.0,2.54,1.77
-ant-,{Ｂ}［分詞接尾辞］（能動・継続）,主动现在分词（进行体）,<접미> 능동태 진행형 분사어미. ～a (형용사적 용법) …하고 있는; ～e (부사적 용법) …하면서; ～o (명사적 용법)…하는 사람: mangx～a 먹고 있는; mangx～e 먹으면서; mangx～o 먹고 있는 사람.,A,1.0,1.0,2.54,1.77
-as,{Ｂ}［動詞語尾］（直説法現在形）,[词尾]直陈式现在时,<문법> 직설법 현재형의 동사 어미. kant～ (현재)노래한다; stud～ (현재)공부한다; mangx～ (현재)먹는다. ～tempo <문법> 현재(現在).,A,1.0,1.0,2.54,1.77
-at-,{Ｂ}［分詞接尾辞］（受動・継続）,被动现在分词（进行体）,<어미> 수동현재분사 어미. ～a (형용사적 용법) …당하고 있는: pun～a 벌을 받고 있는; ～e (부사적 용법) …당하면서: pun～e 벌을 받으면서; ～o (명사적 용법) …당하고 있는 사람: pun～o 벌을 받는 사람. <화학> “…산염(酸鹽)”을 표시함. sulf～o 유산염(硫酸鹽).,A,1.0,1.0,2.54,1.77
-aĉ-,"{Ｂ}［接尾辞］（粗悪・下品を示す）, >>domaĉo, >>knabaĉo",表示无价值，无用，不好，劣,"①무가치한・부적합한・악(惡)한 성질을 나타내는 접미사. cxeval～o 불량한 말(馬); vest～o 헤지고 더러운 옷. ☞ fi, mis. ②‘①’ 의 성질을 의미하는 독립적인 단어로 쓰임. ～a, rauxka vocxo de publikulino 불량하고 쉰 창녀의 목소리. ～ajxo 못쓰는 것, 불량품. ～igxi 나빠지다, 악화되다, 무가치해지다. ～ulo 나쁜 놈. ☞ fripono, kanajlo.",B,9.0,2.0,5.67,7.33
-e,{Ｂ}［副詞語尾］,[词尾]副词,<문법> 부사 어미.,A,1.0,1.0,2.54,1.77
-eg-,"{Ｂ}［接尾辞］（強大を示す）, >>arbego, >>varmega",大,"I. <접미> 어근(語根)이 나타내는 뜻을 “크고 강렬”하게 만듦. bel～a 절세미인의, 절경(絶景)의; vent～o 태풍. ※어떤 단어에 -eg 가 붙으면 경멸의 뜻을 나타낸다. busx～o 큰 아가리; pied～o 도둑놈 발. ☞ et. II. “I”의 뜻을 갖는 독립 단어. ～a 매우 강한, 집중적인, 극단적인. ～a entuziasmo 매우 강한 열심. ☞ kulmino, zenito, paroksismo. ～e 매우, 대단히.",A,1.0,1.0,2.54,1.77
-end-,"{Ｂ}［接尾辞］（必須・受動的義務を示す）, >>farenda, >>pagenda",必须被，应该被,<접미> (수동적 의무를 나타냄)…해야하는. pag～a 지불해야하는; respond～a 회신해야하는.,B,9.0,2.0,5.67,7.33
-er-,"{Ｂ}［接尾辞］（構成粒子・要素を示す）, >>fajrero, >>monero",某物的构成分子,"①<접미> 물체를 구성하는 입자・요소・성분 등을 나타냄. sabl～o 모래알; fajr～o 불씨; mon～o 동전; negx～o 눈송이. ②“I” 의 뜻을 갖는 독립단어. ～o 입자, 낱알, 조각. ☞ parto, guto, floko, fragmento, peceto, atomo. dis～igi 분해하다, 해체하다. ☞ dismembrigi, analizi.|||→ erao.",B,9.0,2.0,5.67,7.33
-et-,"{Ｂ}［接尾辞］（弱小を示す）, >>lageto, >>varmeta",小,"①<접미> 강도(强度)・농도(濃度)・크기 따위의 매우 작은 것을 뜻함. dom～o 오두막 집; donac～o 작은 선물; dorm～i 잠깐 눈을 붙이다, 졸다; lag～o 연못. ②“I”의 뜻을 갖은 독립단어. ～a 작은. granda nubo, ～a pluvo 구름은 크고 비는 적게 오고. ～ulo (키가)작은 사람. ☞ nano. ③<접두> ～industrio 소규모 산업; ～komerco 소규모 장사; ～bieno 작은 농지(農地); ～brugxo 소(小)재산가; ～anima 옹졸한, 마음이 좁은, 편협한.",A,1.0,1.0,2.54,1.77
