PhraseID,current_phrase,current_audio_key,matched_audio_file,match_type
1294,Ĉu vi edziniĝos kun mi?,1139_cxu_vi_edzinigxos_kun_mi,1139_cxu_vi_edzinigxos_al_mi.wav,prefix
1315,Gratulon pro via rubena geedziĝa datreveno!,1160_gratulon_pro_via_rubena_geedzigxa_datreveno,1160_gratulon_pro_via_rubina_geedzigxa_datreveno.wav,prefix
1501,Ruĝo kaj bluo faras violan koloron,1346_rugxo_kaj_bluo_faras_violan_koloron,1346_rugxo_kaj_bluo_faras_purpuron.wav,prefix
2011,Kiam komenciĝas la eniro en la aviadilon?,1856_kiam_komencigxas_la_eniro_en_la_aviadilon,1856_kiam_komencigxas_la_ensxipigxo.wav,prefix
2102,Komenciĝas la eniro en la aviadilon por flugo numero 120,1947_komencigxas_la_eniro_en_la_aviadilon_por_flugo_numero_120,1947_komencigxas_la_ensxipigxo_por_flugo_numero_120.wav,prefix
2414,"Mi ŝatus revenbileton al Bakuo, kun reveno dimanĉe",2259_mi_sxatus_revenbileton_al_bakuo_kun_reveno_dimancxe,2259_mi_sxatus_returan_bileton_al_bakuo_kun_reveno_dimancxe.wav,prefix
2601,Mi ŝatus rezervi ferdekseĝon,2446_mi_sxatus_rezervi_ferdeksegxon,2446_mi_sxatus_rezervi_sunsegxon.wav,prefix
2876,Kiel funkcias la hejtilo?,2721_kiel_funkcias_la_hejtilo,2721_kiel_funkcias_la_varmigilo.wav,prefix
4470,La krono estas rompita,4315_la_krono_estas_rompita,4315_la_kroneto_estas_rompita.wav,prefix
4768,"Mi ŝatus paroli kun la farmaciisto, bonvolu",4613_mi_sxatus_paroli_kun_la_farmaciisto_bonvolu,4613_mi_sxatus_paroli_kun_la_farmacisto_bonvolu.wav,prefix
