Esperanto,Japanese_Trans,Chinese_Trans,Korean_Trans,Level_JP,Level_CN,Level_JP_Num,Level_JP_Scaled,Unified_Level
-a,{Ｂ}［形容詞語尾］,[词尾]形容词词尾，表示“……的”“第……”的意思,"형용사 어미, '…의'를 나타냄",A,1,1,2.54,1.77
-ant-,{Ｂ}［分詞接尾辞］（能動・継続）,主动现在分词（进行体）,능동 현재 분사 접미사,A,1,1,2.54,1.77
-as,{Ｂ}［動詞語尾］（直説法現在形）,[词尾]直陈式现在时,동사 현재 직설법 어미,A,1,1,2.54,1.77
-at-,{Ｂ}［分詞接尾辞］（受動・継続）,被动现在分词（进行体）,수동 현재분사 접미사,A,1,1,2.54,1.77
-aĉ-,"{Ｂ}［接尾辞］（粗悪・下品を示す）, >>dom〜o, >>knab〜o",表示无价值，无用，不好，劣,형편없거나 질 낮음을 나타내는 접미사,B,9,2,5.67,7.33
-e,{Ｂ}［副詞語尾］,[词尾]副词,부사 어미,A,1,1,2.54,1.77
-eg-,"{Ｂ}［接尾辞］（強大を示す）, >>arb〜o, >>varm〜a",大,뜻을 매우 크고 강하게 만드는 접미사,A,1,1,2.54,1.77
-end-,"{Ｂ}［接尾辞］（必須・受動的義務を示す）, >>far〜a, >>pag〜a",必须被，应该被,"수동적 의무, '…되어야 할' 뜻의 접미사",B,9,2,5.67,7.33
-er-,"{Ｂ}［接尾辞］（構成粒子・要素を示す）, >>fajr〜o, >>mon〜o",某物的构成分子,물체를 이루는 작은 입자나 요소를 나타내는 접미사,B,9,2,5.67,7.33
-et-,"{Ｂ}［接尾辞］（弱小を示す）, >>lag〜o, >>varm〜a",小,작음·약함을 나타내는 접미사,A,1,1,2.54,1.77
-i,{Ｂ}［動詞語尾］（不定法を示す）,[词尾]动词不定式,동사 원형 어미,A,1,1,2.54,1.77
-ing-,"{Ｂ}［接尾辞］（ものを差し込んで使う道具を示す）, >>kandel〜o, >>glav〜o",表示插物的器具,한쪽 끝에 물건을 꽂아 쓰는 도구,B,9,2,5.67,7.33
-int-,{Ｂ}［分詞接尾辞］（能動・完了）,主动过去分词（完成体）,능동 과거분사 접미사,A,1,1,2.54,1.77
-is,{Ｂ}［動詞語尾］（直説法過去形）,[词尾]直陈式过去时,동사의 과거 어미,A,1,1,2.54,1.77
-it-,{Ｂ}［分詞接尾辞］（受動・完了）,被动过去分词（完成体）,수동 완료 분사 접미사,A,1,1,2.54,1.77
-j,{Ｂ}［複数語尾］,[词尾]复数,복수어미,A,1,1,2.54,1.77
-n,{Ｂ}［対格語尾］,[词尾]宾格,대격 어미,A,1,1,2.54,1.77
-nj-,"{Ｂ}［接尾辞］（女子の愛称を示す）, >>pa〜o",构成对女子的爱称,여성 이름에 붙는 애칭 접미사,B,9,2,5.67,7.33
-o,{Ｂ}［名詞語尾］,[词尾]名词,명사 어미,A,1,1,2.54,1.77
