"English","Русский язык","Esperanto"
"Good morning.","Доброе утро.","Bonan matenon"
"Hi!","Привет!","Saluton!"
"Bye!","Пока!","Ĝis!"
"How are you?","Как дела?","Kiel vi fartas?"
"I'm OK, thanks.","Хорошо, спасибо.","Mi fartas bone, dankon"
"Good to see you!","Рада вас видеть!","Estas bone vidi vin!"
"Good afternoon.","Добрый день.","Bonan tagon"
"Good evening.","Добрый вечер.","Bonan vesperon"
"Good night.","Спокойной ночи.","Bonan nokton"
"Goodbye!","До свидания!","Ĝis revido!"
"See you tomorrow!","До завтра!","Ĝis morgaŭ!"
"Fine, thanks, and you?","Спасибо, хорошо, а ты?","Bone, dankon, kaj vi?"
"Not so well.","Не очень хорошо.","Ne tre bone"
"So-so.","Так себе.","Tiel-tiel"
"What's new?","Что нового?","Kio nova?"
"Nothing new.","Ничего нового.","Nenio nova"
"How's work going?","Как дела на работе?","Kiel iras la laboro?"
"Not too bad, thanks.","Неплохо, спасибо.","Ne tro malbone, dankon"
"I'm glad to see you again.","Рад вас снова видеть.","Mi ĝojas revidi vin"
"I have to go.","Мне нужно идти.","Mi devas iri"
"See you later!","Увидимся позже!","Ĝis revido!"
"I'll come back.","Я вернусь.","Mi revenos"
"Say hi to Lukas for me.","Передай Лукасу от меня привет.","Salutu Lukason de mi"
"It was nice talking to you.","Было приятно поговорить с тобой.","Estis agrable paroli kun vi"
"Welcome!","Добро пожаловать!","Bonvenon!"
"See you soon!","До скорого!","Ĝis baldaŭ!"
"I will be right back!","Я скоро вернусь!","Mi tuj revenos!"
"Anyway, I'll talk to you later.","В любом случае, поговорим с тобой позже.","Ĉiuokaze, mi parolos kun vi poste"
"It was nice meeting you.","Было приятно с вами познакомиться.","Estis agrable renkontiĝi kun vi"
"It was good seeing you.","Была рада тебя увидеть.","Estis bone vidi vin"
"I'm looking forward to seeing you again.","С нетерпением жду следующей встречи с вами.","Mi antaŭĝojas revidi vin"
