PhraseID,phrase,voice,output_file,matched_audio_file,status
1294,Ĉu vi edziniĝos kun mi?,spomenka,1139_cxu_vi_edzinigxos_kun_mi.wav,1139_cxu_vi_edzinigxos_al_mi.wav,generated
1315,Gratulon pro via rubena geedziĝa datreveno!,spomenka,1160_gratulon_pro_via_rubena_geedzigxa_datreveno.wav,1160_gratulon_pro_via_rubina_geedzigxa_datreveno.wav,generated
1501,Ruĝo kaj bluo faras violan koloron,spomenka,1346_rugxo_kaj_bluo_faras_violan_koloron.wav,1346_rugxo_kaj_bluo_faras_purpuron.wav,generated
2011,Kiam komenciĝas la eniro en la aviadilon?,spomenka,1856_kiam_komencigxas_la_eniro_en_la_aviadilon.wav,1856_kiam_komencigxas_la_ensxipigxo.wav,generated
2102,Komenciĝas la eniro en la aviadilon por flugo numero 120,spomenka,1947_komencigxas_la_eniro_en_la_aviadilon_por_flugo_numero_120.wav,1947_komencigxas_la_ensxipigxo_por_flugo_numero_120.wav,generated
2414,"Mi ŝatus revenbileton al Bakuo, kun reveno dimanĉe",spomenka,2259_mi_sxatus_revenbileton_al_bakuo_kun_reveno_dimancxe.wav,2259_mi_sxatus_returan_bileton_al_bakuo_kun_reveno_dimancxe.wav,generated
2601,Mi ŝatus rezervi ferdekseĝon,spomenka,2446_mi_sxatus_rezervi_ferdeksegxon.wav,2446_mi_sxatus_rezervi_sunsegxon.wav,generated
2876,Kiel funkcias la hejtilo?,spomenka,2721_kiel_funkcias_la_hejtilo.wav,2721_kiel_funkcias_la_varmigilo.wav,generated
4470,La krono estas rompita,spomenka,4315_la_krono_estas_rompita.wav,4315_la_kroneto_estas_rompita.wav,generated
4768,"Mi ŝatus paroli kun la farmaciisto, bonvolu",spomenka,4613_mi_sxatus_paroli_kun_la_farmaciisto_bonvolu.wav,4613_mi_sxatus_paroli_kun_la_farmacisto_bonvolu.wav,generated
