PhraseID,phrase,voice,output_file,matched_audio_file,status
240,"Tio estis la plej malgranda afero, kiun mi povis fari",spomenka,0085_tio_estis_la_plej_malgranda_afero_kiun_mi_povis_fari.wav,0085_tio_estis_la_plej_malmulto_kion_mi_povis_fari.wav,generated
286,"Mi timas, ke mi ne povas resti pli longe",spomenka,0131_mi_timas_ke_mi_ne_povas_resti_pli_longe.wav,0131_mi_timas_ke_mi_ne_povas_resti_plu_longe.wav,generated
922,Li loĝas en la Unuiĝintaj Arabaj Emirlandoj,spomenka,0767_li_logxas_en_la_unuigxintaj_arabaj_emirlandoj.wav,0767_li_logxas_en_unuigxintaj_arabaj_emirlandoj.wav,generated
936,Kio estas via nacieco?,spomenka,0781_kio_estas_via_nacieco.wav,0781_kia_estas_via_nacieco.wav,generated
990,Ĉu vi estas edziniĝinta?,spomenka,0835_cxu_vi_estas_edzinigxinta.wav,0835_cxu_vi_edzinigxis.wav,generated
992,Li estas eksedziĝinta,spomenka,0837_li_estas_eksedzigxinta.wav,0837_li_estas_divorcigxinta.wav,generated
1479,Kvaroble tri estas dek du,spomenka,1324_kvaroble_tri_estas_dek_du.wav,1324_kvarfoje_tri_estas_dek_du.wav,generated
1528,Dumiloble kvin estas dek mil,spomenka,1373_dumiloble_kvin_estas_dek_mil.wav,1373_du_mil_foje_kvin_estas_dek_mil.wav,generated
1718,Ĉu mi devos labori laŭ deĵoroj?,spomenka,1563_cxu_mi_devos_labori_laux_dejxoroj.wav,1563_cxu_mi_devos_labori_lauxvice.wav,generated
1726,Ĉu mi povus ricevi kandidatiĝan formularon?,spomenka,1571_cxu_mi_povus_ricevi_kandidatigxan_formularon.wav,1571_cxu_mi_povus_ricevi_aligxilon.wav,generated
1809,Kiom da tempo necesas por alveni tien?,spomenka,1654_kiom_da_tempo_necesas_por_alveni_tien.wav,1654_kiom_da_tempo_necesas_por_atingi_tien.wav,generated
2000,Kie mi suriru la aviadilon?,spomenka,1845_kie_mi_suriru_la_aviadilon.wav,1845_kie_mi_suriru.wav,generated
2073,"La sekva, mi petas!",spomenka,1918_la_sekva_mi_petas.wav,1918_la_sekva_bonvolu.wav,generated
2106,"Vian doganan deklaracion, mi petas",spomenka,1951_vian_doganan_deklaracion_mi_petas.wav,1951_vian_doganan_deklaracion_bonvolu.wav,generated
2242,Turniĝu dekstren,spomenka,2087_turnigxu_dekstren.wav,2087_turnu_dekstren.wav,generated
2249,Kie mi turniĝu?,spomenka,2094_kie_mi_turnigxu.wav,2094_kie_mi_turnu.wav,generated
2250,Turniĝu dekstren ĉe la kruciĝo,spomenka,2095_turnigxu_dekstren_cxe_la_krucigxo.wav,2095_turnu_dekstren_cxe_la_krucigxo.wav,generated
2267,Turniĝu dekstren ĉe la T-kruciĝo,spomenka,2112_turnigxu_dekstren_cxe_la_t_krucigxo.wav,2112_turnu_dekstren_cxe_la_t_krucigxo.wav,generated
2282,Turniĝu maldekstren ĉe la unua turniĝo,spomenka,2127_turnigxu_maldekstren_cxe_la_unua_turnigxo.wav,2127_turnu_maldekstren_cxe_la_unua_turnigxo.wav,generated
2284,Turniĝu dekstren ĉe la dua turniĝo,spomenka,2129_turnigxu_dekstren_cxe_la_dua_turnigxo.wav,2129_turnu_dekstren_cxe_la_dua_turnigxo.wav,generated
2295,Vi lasis viajn lumojn ŝaltitaj,spomenka,2140_vi_lasis_viajn_lumojn_sxaltitaj.wav,2140_vi_lasis_viajn_lumojn_sxaltitajn.wav,generated
2312,"Por 25 frankoj, mi petas",spomenka,2157_por_25_frankoj_mi_petas.wav,2157_por_25_frankoj_bonvolu.wav,generated
2377,Ne stiru ebria,spomenka,2222_ne_stiru_ebria.wav,2222_ne_trinku_kaj_veturu.wav,generated
